name,city_name,state,price_per_sqft,location_multiplier,area_type,pin_code
Bandra West,Mumbai,Maharashtra,45000,1.8,residential,400050
Juhu,Mumbai,Maharashtra,50000,2.0,residential,400049
Lower Parel,Mumbai,Maharashtra,55000,2.2,commercial,400013
Andheri East,Mumbai,Maharashtra,35000,1.4,residential,400069
Powai,Mumbai,Maharashtra,38000,1.5,residential,400076
Worli,Mumbai,Maharashtra,60000,2.4,residential,400018
Malad West,Mumbai,Maharashtra,28000,1.1,residential,400064
Goregaon East,Mumbai,Maharashtra,30000,1.2,residential,400063
Borivali West,Mumbai,Maharashtra,25000,1.0,residential,400092
Kandivali East,Mumbai,Maharashtra,26000,1.0,residential,400101
Connaught Place,Delhi,Delhi,80000,3.6,commercial,110001
Defence Colony,Delhi,Delhi,45000,2.0,residential,110024
Greater Kailash,Delhi,Delhi,40000,1.8,residential,110048
Saket,Delhi,Delhi,38000,1.7,residential,110017
Vasant Vihar,Delhi,Delhi,50000,2.3,residential,110057
Dwarka,Delhi,Delhi,25000,1.1,residential,110075
Rohini,Delhi,Delhi,20000,0.9,residential,110085
Gurgaon Sector 28,Delhi,Delhi,35000,1.6,commercial,122002
Lajpat Nagar,Delhi,Delhi,32000,1.4,residential,110024
Karol Bagh,Delhi,Delhi,28000,1.3,commercial,110005
Koramangala,Bangalore,Karnataka,28000,1.6,residential,560034
Indiranagar,Bangalore,Karnataka,25000,1.4,residential,560038
Whitefield,Bangalore,Karnataka,22000,1.2,residential,560066
Electronic City,Bangalore,Karnataka,18000,1.0,commercial,560100
Jayanagar,Bangalore,Karnataka,20000,1.1,residential,560011
HSR Layout,Bangalore,Karnataka,24000,1.3,residential,560102
Marathahalli,Bangalore,Karnataka,20000,1.1,residential,560037
Sarjapur Road,Bangalore,Karnataka,16000,0.9,residential,560035
BTM Layout,Bangalore,Karnataka,18000,1.0,residential,560076
Banashankari,Bangalore,Karnataka,16000,0.9,residential,560070
Banjara Hills,Hyderabad,Telangana,25000,1.7,residential,500034
Jubilee Hills,Hyderabad,Telangana,28000,1.9,residential,500033
Gachibowli,Hyderabad,Telangana,18000,1.2,commercial,500032
Hitech City,Hyderabad,Telangana,20000,1.3,commercial,500081
Kondapur,Hyderabad,Telangana,16000,1.1,residential,500084
Madhapur,Hyderabad,Telangana,18000,1.2,residential,500081
Begumpet,Hyderabad,Telangana,22000,1.5,residential,500016
Secunderabad,Hyderabad,Telangana,15000,1.0,residential,500003
Miyapur,Hyderabad,Telangana,12000,0.8,residential,500049
Uppal,Hyderabad,Telangana,14000,0.9,residential,500039
T Nagar,Chennai,Tamil Nadu,22000,1.6,commercial,600017
Anna Nagar,Chennai,Tamil Nadu,18000,1.3,residential,600040
Adyar,Chennai,Tamil Nadu,20000,1.4,residential,600020
Velachery,Chennai,Tamil Nadu,15000,1.1,residential,600042
OMR,Chennai,Tamil Nadu,16000,1.1,commercial,600096
Porur,Chennai,Tamil Nadu,14000,1.0,residential,600116
Nungambakkam,Chennai,Tamil Nadu,25000,1.8,residential,600034
Besant Nagar,Chennai,Tamil Nadu,19000,1.3,residential,600090
Thiruvanmiyur,Chennai,Tamil Nadu,17000,1.2,residential,600041
Tambaram,Chennai,Tamil Nadu,12000,0.8,residential,600045
Koregaon Park,Pune,Maharashtra,25000,1.6,residential,411001
Baner,Pune,Maharashtra,18000,1.1,residential,411045
Hinjewadi,Pune,Maharashtra,16000,1.0,commercial,411057
Wakad,Pune,Maharashtra,15000,0.9,residential,411057
Kharadi,Pune,Maharashtra,17000,1.1,residential,411014
Magarpatta,Pune,Maharashtra,20000,1.3,residential,411028
Aundh,Pune,Maharashtra,19000,1.2,residential,411007
Viman Nagar,Pune,Maharashtra,18000,1.1,residential,411014
Hadapsar,Pune,Maharashtra,14000,0.9,residential,411028
Katraj,Pune,Maharashtra,12000,0.8,residential,411046
Salt Lake,Kolkata,West Bengal,15000,1.3,residential,700064
Park Street,Kolkata,West Bengal,18000,1.5,commercial,700016
Ballygunge,Kolkata,West Bengal,16000,1.3,residential,700019
Alipore,Kolkata,West Bengal,20000,1.7,residential,700027
New Town,Kolkata,West Bengal,12000,1.0,residential,700156
Rajarhat,Kolkata,West Bengal,14000,1.2,residential,700135
Jadavpur,Kolkata,West Bengal,13000,1.1,residential,700032
Garia,Kolkata,West Bengal,10000,0.8,residential,700084
Behala,Kolkata,West Bengal,9000,0.7,residential,700034
Howrah,Kolkata,West Bengal,8000,0.7,residential,711101
Satellite,Ahmedabad,Gujarat,12000,1.4,residential,380015
Bopal,Ahmedabad,Gujarat,10000,1.2,residential,380058
Vastrapur,Ahmedabad,Gujarat,11000,1.3,residential,380015
Prahlad Nagar,Ahmedabad,Gujarat,13000,1.5,residential,380015
Maninagar,Ahmedabad,Gujarat,8000,0.9,residential,380008
Navrangpura,Ahmedabad,Gujarat,10000,1.2,residential,380009
Gandhinagar,Ahmedabad,Gujarat,7000,0.8,residential,382006
Thaltej,Ahmedabad,Gujarat,14000,1.6,residential,380054
Gota,Ahmedabad,Gujarat,9000,1.0,residential,382481
Nikol,Ahmedabad,Gujarat,6000,0.7,residential,382350
Bani Park,Jaipur,Rajasthan,8000,1.2,residential,302016
Malviya Nagar,Jaipur,Rajasthan,7500,1.1,residential,302017
C Scheme,Jaipur,Rajasthan,10000,1.5,commercial,302001
Vaishali Nagar,Jaipur,Rajasthan,7000,1.0,residential,302021
Mansarovar,Jaipur,Rajasthan,6500,1.0,residential,302020
Jagatpura,Jaipur,Rajasthan,6000,0.9,residential,302017
Tonk Road,Jaipur,Rajasthan,5500,0.8,residential,302018
Sodala,Jaipur,Rajasthan,5000,0.8,residential,302006
Shyam Nagar,Jaipur,Rajasthan,5500,0.8,residential,302019
Murlipura,Jaipur,Rajasthan,4500,0.7,residential,302039
Hazratganj,Lucknow,Uttar Pradesh,8000,1.5,commercial,226001
Gomti Nagar,Lucknow,Uttar Pradesh,7000,1.3,residential,226010
Indira Nagar,Lucknow,Uttar Pradesh,6500,1.2,residential,226016
Aliganj,Lucknow,Uttar Pradesh,6000,1.1,residential,226024
Mahanagar,Lucknow,Uttar Pradesh,5500,1.0,residential,226006
Jankipuram,Lucknow,Uttar Pradesh,5000,0.9,residential,226021
Alambagh,Lucknow,Uttar Pradesh,4500,0.8,residential,226005
Chinhat,Lucknow,Uttar Pradesh,4000,0.7,residential,226028
Faizabad Road,Lucknow,Uttar Pradesh,4500,0.8,residential,226016
Sitapur Road,Lucknow,Uttar Pradesh,4000,0.7,residential,226020
